Name,Lat,Lon,country,state,Population
Curuzu Cuatia,-29.79171,-58.0546,AR,6,36390
Corrientes,-27.4806,-58.8341,AR,6,339067
Concordia,-31.39296,-58.02089,AR,8,145210
Concepcion del Uruguay,-32.48249,-58.23722,AR,8,67895
Colegiales,-34.57365,-58.44924,AR,7,57000
Chajari,-30.75048,-57.97962,AR,8,30655
Campana,-34.16874,-58.95914,AR,1,81612
Buenos Aires,-34.61315,-58.37723,AR,7,13076300
Barranqueras,-27.48132,-58.93925,AR,3,50823
Azul,-36.77698,-59.85854,AR,1,53941
Avellaneda,-29.11761,-59.65834,AR,21,23077
Aristobulo del Valle,-27.09625,-54.89626,AR,14,20683
Zapala,-38.89916,-70.05442,AR,15,31534
Yerba Buena,-26.81667,-65.31667,AR,24,50783
Villa Regina,-39.1,-67.06667,AR,16,31209
Villa Paula de Sarmiento,-31.4933,-68.53838,AR,18,19092
Villa Nueva,-32.43293,-63.24763,AR,5,16841
Villa Maria,-32.40751,-63.24016,AR,5,92453
Villa Dolores,-31.94585,-65.18958,AR,5,28009
Villa Constitucion,-33.22778,-60.3297,AR,21,44271
Villa Carlos Paz,-31.42414,-64.49778,AR,5,69451
Villa Angela,-27.57383,-60.71526,AR,3,43511
Villa Allende,-31.29458,-64.29538,AR,5,21683
Viedma,-40.81345,-62.99668,AR,16,48940
Victoria,-32.61841,-60.15478,AR,8,25139
Vera,-29.4593,-60.21261,AR,21,19797
Venado Tuerto,-33.74556,-61.96885,AR,21,72340
Veinticinco de Mayo,-35.4323,-60.17271,AR,1,24668
Ushuaia,-54.8,-68.3,AR,23,58028
Unquillo,-31.23073,-64.31615,AR,5,15369
Tres Isletas,-26.34067,-60.43207,AR,3,24747
Tres Arroyos,-38.37394,-60.27978,AR,1,47136
Trelew,-43.24895,-65.30505,AR,4,93442
Termas de Rio Hondo,-27.49362,-64.85972,AR,22,27838
Tartagal,-22.51637,-63.80131,AR,17,60819
Tafi Viejo,-26.73201,-65.25921,AR,24,48459
Sunchales,-30.94404,-61.56148,AR,21,18757
Santo Tome,-31.66274,-60.7653,AR,21,59072
Santiago del Estero,-27.79511,-64.26149,AR,22,354692
Santa Rosa,-36.61667,-64.28333,AR,11,111424
Santa Lucia,-31.53987,-68.49503,AR,18,43565
Santa Fe de la Vera Cruz,-31.63333,-60.7,AR,21,489505
San Salvador de Jujuy,-24.19457,-65.29712,AR,10,305891
San Ramon de la Nueva Oran,-23.13705,-64.32426,AR,17,74059
San Rafael,-34.61772,-68.33007,AR,13,109163
San Pedro,-24.23127,-64.86614,AR,10,58430
San Nicolas de los Arroyos,-33.33578,-60.22523,AR,1,127742
San Miguel de Tucuman,-26.82414,-65.2226,AR,24,781023
San Martin de los Andes,-40.15789,-71.35337,AR,15,23519
San Martin,-33.08103,-68.46814,AR,13,82549
San Luis,-33.29501,-66.33563,AR,19,183982
San Justo,-30.78913,-60.59189,AR,21,21809
San Juan,-31.5375,-68.53639,AR,18,447048
San Jose de Jachal,-30.24057,-68.74693,AR,18,21018
San Jorge,-31.89618,-61.85984,AR,21,16873
San Francisco,-31.42797,-62.08266,AR,5,59062
San Fernando del Valle de Catamarca,-28.46957,-65.78524,AR,2,188812
San Antonio Oeste,-40.73193,-64.94769,AR,16,16966
Salta,-24.7859,-65.41166,AR,17,512686
Rufino,-34.26827,-62.71262,AR,21,18361
Rosario,-32.94682,-60.63932,AR,21,1173533
Rio Tercero,-32.17301,-64.11405,AR,5,53389
Rio Segundo,-31.6526,-63.9099,AR,5,18155
Rio Gallegos,-51.62261,-69.21813,AR,20,85700
Rio Cuarto,-33.13067,-64.34992,AR,5,153757
Rio Ceballos,-31.16486,-64.32241,AR,5,16632
Rawson,-43.30016,-65.10228,AR,4,26335
Rafaela,-31.25033,-61.4867,AR,21,88713
Quitilipi,-26.86913,-60.21683,AR,3,32083
Punta Alta,-38.87588,-62.07359,AR,1,57209
Puerto Madryn,-42.7692,-65.03851,AR,4,64555
Presidencia Roque Saenz Pena,-26.78522,-60.43876,AR,3,81879
Pocito,-31.68333,-68.58333,AR,18,40969
Plottier,-38.96667,-68.23333,AR,15,25186
Pergamino,-33.88995,-60.57357,AR,1,87652
Perez,-32.99835,-60.76791,AR,21,24436
Parana,-31.73197,-60.5238,AR,8,262295
Palpala,-24.25647,-65.21163,AR,10,48199
Olavarria,-36.89272,-60.32254,AR,1,86320
Nueve de Julio,-35.44437,-60.88313,AR,1,34718
Neuquen,-38.95161,-68.0591,AR,15,242092
Morteros,-30.71164,-61.99862,AR,5,15129
Monteros,-27.16741,-65.49832,AR,24,23771
Mendoza,-32.89084,-68.82717,AR,13,876884
Marcos Juarez,-32.6978,-62.10672,AR,5,24226
Machagai,-26.92614,-60.04955,AR,3,28070
Lincoln,-34.86649,-61.5302,AR,1,41808
Libertador General San Martin,-23.80644,-64.78757,AR,10,49267
Las Brenas,-27.08966,-61.08161,AR,3,26955
La Rioja,-29.41105,-66.85067,AR,12,162620
La Falda,-31.08841,-64.48987,AR,5,15112
La Calera,-31.34377,-64.33529,AR,5,24796
Laboulaye,-34.12662,-63.39119,AR,5,19908
Junin,-34.58382,-60.94332,AR,1,85007
Joaquin V. Gonzalez,-25.08333,-64.18333,AR,17,19185
Jesus Maria,-30.98153,-64.09424,AR,5,26825
Granadero Baigorria,-32.85683,-60.71754,AR,21,32427
Gobernador Galvez,-33.03016,-60.64045,AR,21,74650
General Roca,-39.03333,-67.58333,AR,16,73212
General Pinedo,-27.31667,-61.28333,AR,3,15741
General Pico,-35.65662,-63.75682,AR,11,57029
General Enrique Mosconi,-22.59588,-63.81255,AR,17,19811
Galvez,-32.02927,-61.22103,AR,21,18374
Firmat,-33.45937,-61.4832,AR,21,18294
Famailla,-27.05413,-65.40329,AR,24,30951
Esquel,-42.91147,-71.31947,AR,4,28486
Esperanza,-31.4488,-60.93173,AR,21,35885
Embarcacion,-23.21003,-64.09965,AR,17,23961
Embalse,-32.18,-64.41809,AR,5,15900
El Bolson,-41.96051,-71.53336,AR,16,15537
Diamante,-32.06641,-60.63837,AR,8,19545
Dean Funes,-30.42036,-64.34984,AR,5,20164
Cutral-Co,-38.93424,-69.23052,AR,15,47380
Cruz del Eje,-30.72644,-64.80387,AR,5,28166
Crespo,-32.02873,-60.30658,AR,8,18296
Cosquin,-31.24508,-64.46563,AR,5,19070
Coronel Suarez,-37.45467,-61.93343,AR,1,27000
Coronda,-31.97263,-60.91983,AR,21,16975
Cordoba,-31.4135,-64.18105,AR,5,1428214
Comodoro Rivadavia,-45.86413,-67.49656,AR,4,140850
Cipolletti,-38.93392,-67.99032,AR,16,75078
Cinco Saltos,-38.82225,-68.06293,AR,16,19819
Chivilcoy,-34.89566,-60.01667,AR,1,54514
Chimbas,-31.48333,-68.53333,AR,18,73829
Chilecito,-29.16195,-67.4974,AR,12,42248
Charata,-27.21438,-61.18795,AR,3,27813
Chacabuco,-34.64167,-60.47389,AR,1,34587
Centenario,-38.82955,-68.1318,AR,15,28956
Caucete,-31.65179,-68.28105,AR,18,33609
Catriel,-37.87907,-67.7956,AR,16,15169
Castelli,-25.94679,-60.61947,AR,3,36588
Casilda,-33.04417,-61.16806,AR,21,32002
Carcarana,-32.85679,-61.15331,AR,21,15619
Capitan Bermudez,-32.82262,-60.71852,AR,21,27060
Canada de Gomez,-32.81636,-61.39493,AR,21,36000
Caleta Olivia,-46.43929,-67.52814,AR,20,36077
Bell Ville,-32.62591,-62.68873,AR,5,35105
Bella Vista,-27.03424,-65.30196,AR,24,15126
Bahia Blanca,-38.71959,-62.27243,AR,1,276546
Arroyo Seco,-33.15489,-60.50863,AR,21,20008
Arroyito,-31.42022,-63.05002,AR,5,19577
Anatuya,-28.46064,-62.83472,AR,22,20261
Alta Gracia,-31.65292,-64.42826,AR,5,40384
Allen,-38.97736,-67.82714,AR,16,26083
Alderetes,-26.81667,-65.13333,AR,24,38466
Albardon,-31.43722,-68.52556,AR,18,20413
Aguilares,-27.4338,-65.61427,AR,24,32494
Villa Santa Rita,-34.61082,-58.481,AR,7,34000
Villa Mercedes,-33.67571,-65.45783,AR,19,96781
San Carlos de Bariloche,-41.14557,-71.30822,AR,16,95394
Adrogue,-34.80041,-58.38384,AR,1,28265
Pago Pago,-14.27806,-170.7025,AS,10,11500
Wolfsberg,46.84056,14.84417,AT,2,25610
Wiener Neustadt,47.8,16.25,AT,3,38481
Vienna,48.20849,16.37208,AT,9,1691468
Wels,48.16667,14.03333,AT,4,57946
Weinzierl bei Krems,48.4,15.6,AT,3,24092
Villach,46.61028,13.85583,AT,2,58882
Traun,48.22656,14.23459,AT,4,23959
Traiskirchen,48.01485,16.29324,AT,3,16212
Ternitz,47.71565,16.03575,AT,3,15153
Steyr,48.04274,14.42127,AT,4,39566
